Frequency,Angle_of_Attack,Chord_Length,Free_Stream_Velocity,Displacement_Thickness,Sound_Pressure_Level,y_hat
6300,3.0,0.3048,71.3,0.00425727,116.134,125.96487989988879
8000,3.0,0.3048,71.3,0.00425727,114.634,125.96487989988879
10000,3.0,0.3048,71.3,0.00425727,110.224,125.96487989988879
400,3.0,0.3048,55.5,0.00452492,126.159,125.92097794951424
500,3.0,0.3048,55.5,0.00452492,128.179,125.92097794951424
630,3.0,0.3048,55.5,0.00452492,129.569,125.92097794951424
800,3.0,0.3048,55.5,0.00452492,129.949,125.92097794951424
1000,3.0,0.3048,55.5,0.00452492,129.329,125.92097794951424
1250,3.0,0.3048,55.5,0.00452492,127.329,125.92097794951424
1600,3.0,0.3048,55.5,0.00452492,124.439,125.92097794951424
2000,3.0,0.3048,55.5,0.00452492,123.069,125.92097794951424
2500,3.0,0.3048,55.5,0.00452492,122.439,125.92097794951424
3150,3.0,0.3048,55.5,0.00452492,120.189,125.92097794951424
4000,3.0,0.3048,55.5,0.00452492,118.689,125.92097794951424
5000,3.0,0.3048,55.5,0.00452492,117.309,125.92097794951424
6300,3.0,0.3048,55.5,0.00452492,115.679,125.92097794951424
8000,3.0,0.3048,55.5,0.00452492,113.799,125.92097794951424
10000,3.0,0.3048,55.5,0.00452492,112.169,125.92097794951424
315,3.0,0.3048,39.6,0.00495741,123.312,125.85003771219874
400,3.0,0.3048,39.6,0.00495741,125.472,125.85003771219874
500,3.0,0.3048,39.6,0.00495741,127.632,125.85003771219874
630,3.0,0.3048,39.6,0.00495741,129.292,125.85003771219874
800,3.0,0.3048,39.6,0.00495741,129.552,125.85003771219874
1000,3.0,0.3048,39.6,0.00495741,128.312,125.85003771219874
1250,3.0,0.3048,39.6,0.00495741,125.802,125.85003771219874
1600,3.0,0.3048,39.6,0.00495741,122.782,125.85003771219874
2000,3.0,0.3048,39.6,0.00495741,120.532,125.85003771219874
2500,3.0,0.3048,39.6,0.00495741,120.162,125.85003771219874
3150,3.0,0.3048,39.6,0.00495741,118.922,125.85003771219874
4000,3.0,0.3048,39.6,0.00495741,116.792,125.85003771219874
5000,3.0,0.3048,39.6,0.00495741,115.792,125.85003771219874
6300,3.0,0.3048,39.6,0.00495741,114.042,125.85003771219874
8000,3.0,0.3048,39.6,0.00495741,110.652,125.85003771219874
315,3.0,0.3048,31.7,0.00529514,123.118,125.79464071724266
400,3.0,0.3048,31.7,0.00529514,125.398,125.79464071724266
500,3.0,0.3048,31.7,0.00529514,127.548,125.79464071724266
630,3.0,0.3048,31.7,0.00529514,128.698,125.79464071724266
800,3.0,0.3048,31.7,0.00529514,128.708,125.79464071724266
1000,3.0,0.3048,31.7,0.00529514,126.838,125.79464071724266
1250,3.0,0.3048,31.7,0.00529514,124.838,125.79464071724266
1600,3.0,0.3048,31.7,0.00529514,122.088,125.79464071724266
2000,3.0,0.3048,31.7,0.00529514,120.088,125.79464071724266
2500,3.0,0.3048,31.7,0.00529514,119.598,125.79464071724266
3150,3.0,0.3048,31.7,0.00529514,118.108,125.79464071724266
4000,3.0,0.3048,31.7,0.00529514,115.608,125.79464071724266
5000,3.0,0.3048,31.7,0.00529514,113.858,125.79464071724266
6300,3.0,0.3048,31.7,0.00529514,109.718,125.79464071724266
250,4.0,0.3048,71.3,0.00497773,126.395,125.84670467415798
315,4.0,0.3048,71.3,0.00497773,128.175,125.84670467415798
400,4.0,0.3048,71.3,0.00497773,129.575,125.84670467415798
500,4.0,0.3048,71.3,0.00497773,130.715,125.84670467415798
630,4.0,0.3048,71.3,0.00497773,131.615,125.84670467415798
800,4.0,0.3048,71.3,0.00497773,131.755,125.84670467415798
1000,4.0,0.3048,71.3,0.00497773,131.015,125.84670467415798
1250,4.0,0.3048,71.3,0.00497773,129.395,125.84670467415798
1600,4.0,0.3048,71.3,0.00497773,126.645,125.84670467415798
2000,4.0,0.3048,71.3,0.00497773,124.395,125.84670467415798
2500,4.0,0.3048,71.3,0.00497773,123.775,125.84670467415798
3150,4.0,0.3048,71.3,0.00497773,121.775,125.84670467415798
4000,4.0,0.3048,71.3,0.00497773,119.535,125.84670467415798
5000,4.0,0.3048,71.3,0.00497773,117.785,125.84670467415798
6300,4.0,0.3048,71.3,0.00497773,116.165,125.84670467415798
8000,4.0,0.3048,71.3,0.00497773,113.665,125.84670467415798
10000,4.0,0.3048,71.3,0.00497773,110.905,125.84670467415798
12500,4.0,0.3048,71.3,0.00497773,107.405,125.84670467415798
250,4.0,0.3048,39.6,0.00579636,123.543,125.71242687242018
315,4.0,0.3048,39.6,0.00579636,126.843,125.71242687242018
400,4.0,0.3048,39.6,0.00579636,128.633,125.71242687242018
500,4.0,0.3048,39.6,0.00579636,130.173,125.71242687242018
630,4.0,0.3048,39.6,0.00579636,131.073,125.71242687242018
800,4.0,0.3048,39.6,0.00579636,130.723,125.71242687242018
1000,4.0,0.3048,39.6,0.00579636,128.723,125.71242687242018
1250,4.0,0.3048,39.6,0.00579636,126.343,125.71242687242018
1600,4.0,0.3048,39.6,0.00579636,123.213,125.71242687242018
2000,4.0,0.3048,39.6,0.00579636,120.963,125.71242687242018
2500,4.0,0.3048,39.6,0.00579636,120.233,125.71242687242018
3150,4.0,0.3048,39.6,0.00579636,118.743,125.71242687242018
4000,4.0,0.3048,39.6,0.00579636,115.863,125.71242687242018
5000,4.0,0.3048,39.6,0.00579636,113.733,125.71242687242018
1250,0.0,0.2286,71.3,0.00214345,128.144,126.31160443095825
1600,0.0,0.2286,71.3,0.00214345,129.134,126.31160443095825
2000,0.0,0.2286,71.3,0.00214345,128.244,126.31160443095825
2500,0.0,0.2286,71.3,0.00214345,128.354,126.31160443095825
3150,0.0,0.2286,71.3,0.00214345,127.834,126.31160443095825
4000,0.0,0.2286,71.3,0.00214345,125.824,126.31160443095825
5000,0.0,0.2286,71.3,0.00214345,124.304,126.31160443095825
6300,0.0,0.2286,71.3,0.00214345,122.044,126.31160443095825
8000,0.0,0.2286,71.3,0.00214345,118.024,126.31160443095825
10000,0.0,0.2286,71.3,0.00214345,118.134,126.31160443095825
12500,0.0,0.2286,71.3,0.00214345,117.624,126.31160443095825
16000,0.0,0.2286,71.3,0.00214345,114.984,126.31160443095825
20000,0.0,0.2286,71.3,0.00214345,114.474,126.31160443095825
315,0.0,0.2286,55.5,0.00229336,119.54,126.28701507403447
400,0.0,0.2286,55.5,0.00229336,121.66,126.28701507403447
500,0.0,0.2286,55.5,0.00229336,123.78,126.28701507403447
630,0.0,0.2286,55.5,0.00229336,126.16,126.28701507403447
800,0.0,0.2286,55.5,0.00229336,127.53,126.28701507403447
1000,0.0,0.2286,55.5,0.00229336,128.29,126.28701507403447
1250,0.0,0.2286,55.5,0.00229336,127.91,126.28701507403447
1600,0.0,0.2286,55.5,0.00229336,126.79,126.28701507403447
2000,0.0,0.2286,55.5,0.00229336,126.54,126.28701507403447
2500,0.0,0.2286,55.5,0.00229336,126.54,126.28701507403447
3150,0.0,0.2286,55.5,0.00229336,125.16,126.28701507403447
4000,0.0,0.2286,55.5,0.00229336,123.41,126.28701507403447
5000,0.0,0.2286,55.5,0.00229336,122.41,126.28701507403447
6300,0.0,0.2286,55.5,0.00229336,118.41,126.28701507403447
315,0.0,0.2286,39.6,0.00253511,121.055,126.24736143494219
400,0.0,0.2286,39.6,0.00253511,123.565,126.24736143494219
500,0.0,0.2286,39.6,0.00253511,126.195,126.24736143494219
630,0.0,0.2286,39.6,0.00253511,128.705,126.24736143494219
800,0.0,0.2286,39.6,0.00253511,130.205,126.24736143494219
1000,0.0,0.2286,39.6,0.00253511,130.435,126.24736143494219
1250,0.0,0.2286,39.6,0.00253511,129.395,126.24736143494219
1600,0.0,0.2286,39.6,0.00253511,127.095,126.24736143494219
2000,0.0,0.2286,39.6,0.00253511,125.305,126.24736143494219
2500,0.0,0.2286,39.6,0.00253511,125.025,126.24736143494219
3150,0.0,0.2286,39.6,0.00253511,124.625,126.24736143494219
4000,0.0,0.2286,39.6,0.00253511,123.465,126.24736143494219
5000,0.0,0.2286,39.6,0.00253511,122.175,126.24736143494219
6300,0.0,0.2286,39.6,0.00253511,117.465,126.24736143494219
315,0.0,0.2286,31.7,0.0027238,120.595,126.21641109301738
400,0.0,0.2286,31.7,0.0027238,123.635,126.21641109301738
500,0.0,0.2286,31.7,0.0027238,126.675,126.21641109301738
630,0.0,0.2286,31.7,0.0027238,129.465,126.21641109301738
800,0.0,0.2286,31.7,0.0027238,130.725,126.21641109301738
1000,0.0,0.2286,31.7,0.0027238,130.595,126.21641109301738
1250,0.0,0.2286,31.7,0.0027238,128.805,126.21641109301738
1600,0.0,0.2286,31.7,0.0027238,125.625,126.21641109301738
2000,0.0,0.2286,31.7,0.0027238,123.455,126.21641109301738
2500,0.0,0.2286,31.7,0.0027238,123.445,126.21641109301738
3150,0.0,0.2286,31.7,0.0027238,123.445,126.21641109301738
4000,0.0,0.2286,31.7,0.0027238,122.035,126.21641109301738
5000,0.0,0.2286,31.7,0.0027238,120.505,126.21641109301738
6300,0.0,0.2286,31.7,0.0027238,116.815,126.21641109301738
400,2.0,0.2286,71.3,0.00293031,125.116,126.1825377817084
500,2.0,0.2286,71.3,0.00293031,126.486,126.1825377817084
630,2.0,0.2286,71.3,0.00293031,127.356,126.1825377817084
800,2.0,0.2286,71.3,0.00293031,128.216,126.1825377817084
1000,2.0,0.2286,71.3,0.00293031,128.956,126.1825377817084
1250,2.0,0.2286,71.3,0.00293031,128.816,126.1825377817084
1600,2.0,0.2286,71.3,0.00293031,127.796,126.1825377817084
2000,2.0,0.2286,71.3,0.00293031,126.896,126.1825377817084
2500,2.0,0.2286,71.3,0.00293031,127.006,126.1825377817084
3150,2.0,0.2286,71.3,0.00293031,126.116,126.1825377817084
4000,2.0,0.2286,71.3,0.00293031,124.086,126.1825377817084
5000,2.0,0.2286,71.3,0.00293031,122.816,126.1825377817084
6300,2.0,0.2286,71.3,0.00293031,120.786,126.1825377817084
8000,2.0,0.2286,71.3,0.00293031,115.996,126.1825377817084
10000,2.0,0.2286,71.3,0.00293031,113.086,126.1825377817084
400,2.0,0.2286,55.5,0.00313525,122.292,126.14892199351576
500,2.0,0.2286,55.5,0.00313525,124.692,126.14892199351576
630,2.0,0.2286,55.5,0.00313525,126.842,126.14892199351576
800,2.0,0.2286,55.5,0.00313525,128.492,126.14892199351576
1000,2.0,0.2286,55.5,0.00313525,129.002,126.14892199351576
1250,2.0,0.2286,55.5,0.00313525,128.762,126.14892199351576
1600,2.0,0.2286,55.5,0.00313525,126.752,126.14892199351576
2000,2.0,0.2286,55.5,0.00313525,124.612,126.14892199351576
2500,2.0,0.2286,55.5,0.00313525,123.862,126.14892199351576
3150,2.0,0.2286,55.5,0.00313525,123.742,126.14892199351576
4000,2.0,0.2286,55.5,0.00313525,122.232,126.14892199351576
5000,2.0,0.2286,55.5,0.00313525,120.472,126.14892199351576
6300,2.0,0.2286,55.5,0.00313525,118.712,126.14892199351576
315,2.0,0.2286,39.6,0.00346574,120.137,126.09471255738914
400,2.0,0.2286,39.6,0.00346574,122.147,126.09471255738914
500,2.0,0.2286,39.6,0.00346574,125.157,126.09471255738914
630,2.0,0.2286,39.6,0.00346574,127.417,126.09471255738914
800,2.0,0.2286,39.6,0.00346574,129.037,126.09471255738914
1000,2.0,0.2286,39.6,0.00346574,129.147,126.09471255738914
1250,2.0,0.2286,39.6,0.00346574,128.257,126.09471255738914
1600,2.0,0.2286,39.6,0.00346574,125.837,126.09471255738914
2000,2.0,0.2286,39.6,0.00346574,122.797,126.09471255738914
2500,2.0,0.2286,39.6,0.00346574,121.397,126.09471255738914
3150,2.0,0.2286,39.6,0.00346574,121.627,126.09471255738914
4000,2.0,0.2286,39.6,0.00346574,120.227,126.09471255738914
5000,2.0,0.2286,39.6,0.00346574,118.827,126.09471255738914
6300,2.0,0.2286,39.6,0.00346574,116.417,126.09471255738914
315,2.0,0.2286,31.7,0.00372371,120.147,126.05239839285291
400,2.0,0.2286,31.7,0.00372371,123.417,126.05239839285291
500,2.0,0.2286,31.7,0.00372371,126.677,126.05239839285291
630,2.0,0.2286,31.7,0.00372371,129.057,126.05239839285291
800,2.0,0.2286,31.7,0.00372371,130.307,126.05239839285291
1000,2.0,0.2286,31.7,0.00372371,130.307,126.05239839285291
1250,2.0,0.2286,31.7,0.00372371,128.677,126.05239839285291
1600,2.0,0.2286,31.7,0.00372371,125.797,126.05239839285291
2000,2.0,0.2286,31.7,0.00372371,123.037,126.05239839285291
2500,2.0,0.2286,31.7,0.00372371,121.407,126.05239839285291
3150,2.0,0.2286,31.7,0.00372371,121.527,126.05239839285291
4000,2.0,0.2286,31.7,0.00372371,120.527,126.05239839285291
5000,2.0,0.2286,31.7,0.00372371,118.267,126.05239839285291
6300,2.0,0.2286,31.7,0.00372371,115.137,126.05239839285291
500,4.0,0.2286,71.3,0.00400603,126.758,126.00609015960148
630,4.0,0.2286,71.3,0.00400603,129.038,126.00609015960148
800,4.0,0.2286,71.3,0.00400603,130.688,126.00609015960148
1000,4.0,0.2286,71.3,0.00400603,131.708,126.00609015960148
1250,4.0,0.2286,71.3,0.00400603,131.718,126.00609015960148
1600,4.0,0.2286,71.3,0.00400603,129.468,126.00609015960148
2000,4.0,0.2286,71.3,0.00400603,126.218,126.00609015960148
2500,4.0,0.2286,71.3,0.00400603,124.338,126.00609015960148
3150,4.0,0.2286,71.3,0.00400603,124.108,126.00609015960148
4000,4.0,0.2286,71.3,0.00400603,121.728,126.00609015960148
5000,4.0,0.2286,71.3,0.00400603,121.118,126.00609015960148
6300,4.0,0.2286,71.3,0.00400603,118.618,126.00609015960148
8000,4.0,0.2286,71.3,0.00400603,112.848,126.00609015960148
10000,4.0,0.2286,71.3,0.00400603,113.108,126.00609015960148
12500,4.0,0.2286,71.3,0.00400603,114.258,126.00609015960148
16000,4.0,0.2286,71.3,0.00400603,112.768,126.00609015960148
20000,4.0,0.2286,71.3,0.00400603,109.638,126.00609015960148
400,4.0,0.2286,55.5,0.0042862,123.274,125.96013458539473
500,4.0,0.2286,55.5,0.0042862,127.314,125.96013458539473
630,4.0,0.2286,55.5,0.0042862,129.964,125.96013458539473
800,4.0,0.2286,55.5,0.0042862,131.864,125.96013458539473
1000,4.0,0.2286,55.5,0.0042862,132.134,125.96013458539473
1250,4.0,0.2286,55.5,0.0042862,131.264,125.96013458539473
1600,4.0,0.2286,55.5,0.0042862,128.264,125.96013458539473
2000,4.0,0.2286,55.5,0.0042862,124.254,125.96013458539473
2500,4.0,0.2286,55.5,0.0042862,122.384,125.96013458539473
3150,4.0,0.2286,55.5,0.0042862,122.394,125.96013458539473
4000,4.0,0.2286,55.5,0.0042862,120.654,125.96013458539473
5000,4.0,0.2286,55.5,0.0042862,120.034,125.96013458539473
6300,4.0,0.2286,55.5,0.0042862,117.154,125.96013458539473
8000,4.0,0.2286,55.5,0.0042862,112.524,125.96013458539473
315,4.0,0.2286,39.6,0.00473801,122.229,125.88602533750111
400,4.0,0.2286,39.6,0.00473801,123.879,125.88602533750111
500,4.0,0.2286,39.6,0.00473801,127.039,125.88602533750111
630,4.0,0.2286,39.6,0.00473801,129.579,125.88602533750111
800,4.0,0.2286,39.6,0.00473801,130.469,125.88602533750111
1000,4.0,0.2286,39.6,0.00473801,129.969,125.88602533750111
1250,4.0,0.2286,39.6,0.00473801,128.339,125.88602533750111
1600,4.0,0.2286,39.6,0.00473801,125.319,125.88602533750111
2000,4.0,0.2286,39.6,0.00473801,121.659,125.88602533750111
2500,4.0,0.2286,39.6,0.00473801,119.649,125.88602533750111
3150,4.0,0.2286,39.6,0.00473801,120.419,125.88602533750111
4000,4.0,0.2286,39.6,0.00473801,119.159,125.88602533750111
5000,4.0,0.2286,39.6,0.00473801,117.649,125.88602533750111
6300,4.0,0.2286,39.6,0.00473801,114.249,125.88602533750111
8000,4.0,0.2286,39.6,0.00473801,113.129,125.88602533750111
250,4.0,0.2286,31.7,0.00509068,120.189,125.82817777225323
315,4.0,0.2286,31.7,0.00509068,123.609,125.82817777225323
400,4.0,0.2286,31.7,0.00509068,126.149,125.82817777225323
500,4.0,0.2286,31.7,0.00509068,128.939,125.82817777225323
630,4.0,0.2286,31.7,0.00509068,130.349,125.82817777225323
800,4.0,0.2286,31.7,0.00509068,130.869,125.82817777225323
1000,4.0,0.2286,31.7,0.00509068,129.869,125.82817777225323
1250,4.0,0.2286,31.7,0.00509068,128.119,125.82817777225323
1600,4.0,0.2286,31.7,0.00509068,125.229,125.82817777225323
2000,4.0,0.2286,31.7,0.00509068,122.089,125.82817777225323
2500,4.0,0.2286,31.7,0.00509068,120.209,125.82817777225323
3150,4.0,0.2286,31.7,0.00509068,120.229,125.82817777225323
4000,4.0,0.2286,31.7,0.00509068,118.859,125.82817777225323
5000,4.0,0.2286,31.7,0.00509068,115.969,125.82817777225323
6300,4.0,0.2286,31.7,0.00509068,112.699,125.82817777225323
400,5.3,0.2286,71.3,0.0051942,127.7,125.81119764932114
500,5.3,0.2286,71.3,0.0051942,129.88,125.81119764932114
630,5.3,0.2286,71.3,0.0051942,131.8,125.81119764932114
800,5.3,0.2286,71.3,0.0051942,133.48,125.81119764932114
1000,5.3,0.2286,71.3,0.0051942,134.0,125.81119764932114
1250,5.3,0.2286,71.3,0.0051942,133.38,125.81119764932114
1600,5.3,0.2286,71.3,0.0051942,130.46,125.81119764932114
2000,5.3,0.2286,71.3,0.0051942,125.89,125.81119764932114
2500,5.3,0.2286,71.3,0.0051942,123.74,125.81119764932114
3150,5.3,0.2286,71.3,0.0051942,123.12,125.81119764932114
4000,5.3,0.2286,71.3,0.0051942,120.33,125.81119764932114
5000,5.3,0.2286,71.3,0.0051942,118.05,125.81119764932114
6300,5.3,0.2286,71.3,0.0051942,116.92,125.81119764932114
8000,5.3,0.2286,71.3,0.0051942,114.9,125.81119764932114
10000,5.3,0.2286,71.3,0.0051942,111.35,125.81119764932114
250,5.3,0.2286,39.6,0.00614329,127.011,125.65552082480784
315,5.3,0.2286,39.6,0.00614329,129.691,125.65552082480784
400,5.3,0.2286,39.6,0.00614329,131.221,125.65552082480784
500,5.3,0.2286,39.6,0.00614329,132.251,125.65552082480784
630,5.3,0.2286,39.6,0.00614329,132.011,125.65552082480784
800,5.3,0.2286,39.6,0.00614329,129.491,125.65552082480784
1000,5.3,0.2286,39.6,0.00614329,125.581,125.65552082480784
1250,5.3,0.2286,39.6,0.00614329,125.721,125.65552082480784
1600,5.3,0.2286,39.6,0.00614329,123.081,125.65552082480784
2000,5.3,0.2286,39.6,0.00614329,117.911,125.65552082480784
2500,5.3,0.2286,39.6,0.00614329,116.151,125.65552082480784
3150,5.3,0.2286,39.6,0.00614329,118.441,125.65552082480784
4000,5.3,0.2286,39.6,0.00614329,115.801,125.65552082480784
5000,5.3,0.2286,39.6,0.00614329,115.311,125.65552082480784
6300,5.3,0.2286,39.6,0.00614329,112.541,125.65552082480784
200,7.3,0.2286,71.3,0.0104404,138.758,124.95067677483958
250,7.3,0.2286,71.3,0.0104404,139.918,124.95067677483958
315,7.3,0.2286,71.3,0.0104404,139.808,124.95067677483958
400,7.3,0.2286,71.3,0.0104404,139.438,124.95067677483958
500,7.3,0.2286,71.3,0.0104404,136.798,124.95067677483958
630,7.3,0.2286,71.3,0.0104404,133.768,124.95067677483958
800,7.3,0.2286,71.3,0.0104404,130.748,124.95067677483958
1000,7.3,0.2286,71.3,0.0104404,126.838,124.95067677483958
1250,7.3,0.2286,71.3,0.0104404,127.358,124.95067677483958
1600,7.3,0.2286,71.3,0.0104404,125.728,124.95067677483958
2000,7.3,0.2286,71.3,0.0104404,122.708,124.95067677483958
2500,7.3,0.2286,71.3,0.0104404,122.088,124.95067677483958
3150,7.3,0.2286,71.3,0.0104404,120.458,124.95067677483958
4000,7.3,0.2286,71.3,0.0104404,119.208,124.95067677483958
5000,7.3,0.2286,71.3,0.0104404,115.298,124.95067677483958
6300,7.3,0.2286,71.3,0.0104404,115.818,124.95067677483958
200,7.3,0.2286,55.5,0.0111706,135.234,124.83090392162269
250,7.3,0.2286,55.5,0.0111706,136.384,124.83090392162269
315,7.3,0.2286,55.5,0.0111706,136.284,124.83090392162269
400,7.3,0.2286,55.5,0.0111706,135.924,124.83090392162269
500,7.3,0.2286,55.5,0.0111706,133.174,124.83090392162269
